peak_group,group_two_theta,reliable,coverage_fraction,detected_frame_count,detected_fraction,roi_presence_count,roi_fraction,roi_presence_threshold,max_roi_area
253,10.817,1,0.411765,7,0.411765,5,0.294118,0.00438465,0.0438465
254,10.8415,0,0.117647,2,0.117647,2,0.117647,0.00371393,0.0371393
255,10.8839,0,0.235294,4,0.235294,2,0.117647,0.00699886,0.0699886
256,10.9048,1,0.352941,6,0.352941,2,0.117647,0.00643351,0.0643351
257,10.9565,1,0.470588,5,0.294118,8,0.470588,0.0043287,0.043287
258,10.9911,1,0.294118,5,0.294118,5,0.294118,0.010368,0.10368
259,11.0332,1,0.470588,8,0.470588,8,0.470588,0.012126,0.12126
260,11.0711,1,0.411765,5,0.294118,7,0.411765,0.00887902,0.0887902
261,11.0966,1,0.529412,7,0.411765,9,0.529412,0.00439613,0.0439613
262,11.1262,0,0.294118,2,0.117647,5,0.294118,0.00819865,0.0819865
263,11.1501,1,0.294118,5,0.294118,4,0.235294,0.0144445,0.144445
264,11.2004,0,0.235294,2,0.117647,4,0.235294,0.0222228,0.222228
265,11.2457,0,0.294118,3,0.176471,5,0.294118,0.0255169,0.255169
266,11.2915,1,0.294118,5,0.294118,5,0.294118,0.0247507,0.247507
267,11.324,1,0.411765,7,0.411765,4,0.235294,0.0252593,0.252593
268,11.3634,0,0.176471,1,0.0588235,3,0.176471,0.0209812,0.209812
269,11.397,0,0.352941,1,0.0588235,6,0.352941,0.0102171,0.102171
270,11.4424,0,0.352941,2,0.117647,6,0.352941,0.00797492,0.0797492
271,11.4588,0,0.235294,3,0.176471,4,0.235294,0.00843485,0.0843485
272,11.4993,1,0.294118,5,0.294118,5,0.294118,0.00873771,0.0873771
273,11.5281,0,0.294118,4,0.235294,5,0.294118,0.00746171,0.0746171
274,11.5565,0,0.294118,4,0.235294,5,0.294118,0.0072165,0.072165
275,11.5849,0,0.235294,3,0.176471,4,0.235294,0.00500371,0.0500371
276,11.6322,0,0.352941,3,0.176471,6,0.352941,0.00310249,0.0310249
277,11.664,1,0.294118,5,0.294118,1,0.0588235,0.00425012,0.0425012
278,11.7107,1,0.470588,8,0.470588,1,0.0588235,0.00751457,0.0751457
279,11.7532,1,0.294118,5,0.294118,1,0.0588235,0.00620435,0.0620435
280,11.7782,0,0.176471,3,0.176471,3,0.176471,0.00238773,0.0238773
281,11.8076,0,0.235294,4,0.235294,3,0.176471,0.00123047,0.0123047
282,11.8379,0,0.176471,2,0.117647,3,0.176471,0.000483728,0.00483728
283,11.8802,0,0.235294,4,0.235294,3,0.176471,0.000382838,0.00382838
284,11.9299,1,0.411765,6,0.352941,7,0.411765,0.000194345,0.00194345
285,11.9671,1,0.411765,6,0.352941,7,0.411765,0.000336594,0.00336594
