frame,path,two_theta,normalized_intensity,prominence,width_deg,peak_group,group_two_theta,delta_from_group,source_methods,source_count,confidence_tier,tier_score,accepted_standard,raw_intensity,residual_height,conventional_prominence,matched_filter_responses,best_matched_scale,best_matched_response,local_center_height,left_side_rise,right_side_rise,two_sided_contrast,local_noise,local_shape_snr,local_slope,local_curvature,width_estimate_deg,nearest_stronger_peak_deg,likely_shoulder,top_peaks_truncated
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,11.616460,0.000113392,0.000113392,0.025459,,,,raw,1,C,100,0,0.0917833,-0.109974,0.000113392,,,0,-0.00762499,0.00380557,-0.00478781,-0.00478781,0.00765158,-0.625728,-0.079385,0.000179145,0.025459,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,11.632275,0.941291,0.941291,0,,,,matched,1,C,100.941,0,0.09167,-0.106198,0,w2:0.941291,2,0.941291,-0.00607965,0.00397655,-0.00410467,-0.00410467,0.00742387,-0.552901,-0.0622504,4.20243e-05,0,0.0474464,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,11.663906,0.000236148,0.000236148,0.0145344,,,,raw,1,C,100,0,0.0920623,-0.098311,0.000236148,,,0,-0.00259312,0.0011153,-0.00151457,-0.00151457,0.00375289,-0.403573,-0.0113999,-0.000133947,0.0145344,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,11.679722,1.02223,1.02223,0,,,,matched,1,C,101.022,0,0.0918261,-0.0940073,0,w3:1.02223,3,1.02223,-0.00137142,0.000147181,-0.000266779,-0.000266779,0.00129148,-0.206569,0.00725977,-8.9609e-05,0,0.0316309,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,12.027662,0.0202675,0.000172143,0.0245465,,,,raw,1,C,100,0,0.0974346,0.0196774,0.000172143,,,0,-0.00873378,-0.00100089,-0.00504527,-0.00504527,0.00487306,-1.03534,-0.0697147,-0.00053982,0.0245465,0.0158155,0,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,12.059293,1.92416,1.92416,0,,,,matched,1,C,101.924,0,0.0968614,0.0257731,0,w2:1.92416,2,1.92416,-0.00718194,0.00195069,-0.00454694,-0.00454694,0.00519281,-0.875622,-0.0776514,6.02102e-05,0,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,12.170001,0.0139215,0.000532277,0.0415038,,,,raw,1,C,100.001,0,0.0973818,0.0137473,0.000532277,,,0,-0.000987697,-0.000718047,-0.000302492,-0.000718047,0.000360428,-1.9922,0.00817986,-4.15904e-05,0.0415038,0.0790773,0,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,12.185817,0.0171558,0.00010474,0.0287299,,,,shoulder,1,C,100,0,0.0967808,0.0171558,0.00010474,,,0,-0.00102944,-0.000506543,-0.000667664,-0.000667664,0.000375379,-1.77864,0.00841524,-2.17126e-05,0.0287299,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,12.217448,0.0239977,0.000109238,0.0108363,,,,raw,1,C,100,0,0.0978805,0.0237008,0.000109238,,,0,-0.000864839,-1.84501e-05,-0.000711004,-0.000711004,0.000577098,-1.23203,0.00820604,-0.000218635,0.0108363,0.0474464,0,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,12.359787,0.0347583,9.0275e-05,0.0308988,,,,shoulder,1,C,100,0,0.0992207,0.0347583,9.0275e-05,,,0,-0.000240614,-0.000102826,2.9664e-05,-0.000102826,0.000328202,-0.313299,0.00940325,-1.10423e-05,0.0308988,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,12.375602,0.0282794,0.000172165,0.0116586,,,,raw,1,C,100,0,0.0995837,0.0280538,0.000172165,,,0,-0.000455145,-0.000244819,-0.000233474,-0.000244819,0.000254474,-0.962052,0.00859432,-9.59656e-05,0.0116586,0.0474464,0,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,12.423049,0.0102199,3.15547e-05,0.0203365,,,,shoulder,1,C,100,0,0.10001,0.0102199,3.15547e-05,,,0,-0.000236276,0.000141776,-0.000214391,-0.000214391,0.000285132,-0.7519,0.00657026,5.68431e-06,0.0203365,0.0158155,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,12.438864,0.00596195,0.000161571,0.0108486,,,,raw,1,C,100,0,0.100444,0.00567025,0.000161571,,,0,-7.72074e-05,0.000231851,-0.00012264,-0.00012264,0.000345199,-0.355272,0.00658065,-2.58704e-05,0.0108486,0.0316309,1,0
3.9GPa,Data/Cell_29_integrated/3p9GPa.xy,12.612834,0.000946678,0.000946678,0.0420646,,,,raw,1,C,100.001,0,0.101348,-0.000547118,0.000946678,,,0,-0.000531686,-0.000374953,1.97342e-05,-0.000374953,0.000216123,-1.7349,0.00560663,-1.84868e-05,0.0420646,0.0158155,1,0
