peak_group,group_two_theta,frame_count,frame_coverage_fraction,longest_consecutive_run,median_position,position_mad_deg,pressure_position_slope_deg_per_gpa,max_roi_area,mean_confidence_tier,tier_a_count,tier_b_count,tier_c_count,source_methods,matched_filter_scales,frames_present
73,4.634258,11,0.647059,5,4.63537,0.00755187,-0.000234646,0.00063341,2.41667,5,7,0,matched;micro;raw;shoulder,2;3;5;8,0.7GPa;1GPa;1.3GPa;1.5GPa;2.4GPa_decomp;6.6GPa;7.4GPa;8.5GPa;9.8GPa;10.4GPa;13.3GPa
74,4.673485,12,0.705882,5,4.67923,0.00915964,0.00123973,0.000257337,2.5,7,7,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;5GPa;7.4GPa;8.5GPa;9.8GPa;12.8GPa;13.3GPa;15.6GPa
75,4.719060,4,0.235294,2,4.71698,0.00394005,-0.000303431,0.000458443,2.66667,4,2,0,matched;micro;raw;shoulder,2;3;5;8,1.3GPa;3.9GPa;5GPa;8.5GPa
76,4.744009,9,0.529412,4,4.75255,0.0025591,-0.000465546,0.000312012,2.72727,8,3,0,matched;micro;raw;residual;shoulder,2;3;8,0.7GPa;1.5GPa;2.3GPa;2.4GPa_decomp;5GPa;6.2GPa;6.6GPa;7.4GPa;10.4GPa
77,4.773523,8,0.470588,2,4.76913,0.000767008,-0.000605262,0.000314342,2.66667,6,3,0,matched;micro;raw;residual;shoulder,2;3;5,0.7GPa;1GPa;1.5GPa;2.3GPa;6.2GPa;6.6GPa;8.5GPa;13.3GPa
78,4.799983,7,0.411765,3,4.79999,0,6.97528e-05,0.000422781,2.25,2,6,0,bump;matched;micro;raw;residual;shoulder,2;3,1GPa;1.5GPa;2.3GPa;3.9GPa;6.6GPa;7.4GPa;8.5GPa
79,4.849123,9,0.529412,4,4.84744,0.00582992,0.0002018,0.000753101,2.27273,3,8,0,matched;micro;raw;residual;shoulder,3;5;8,0.7GPa;2.3GPa;2.4GPa_decomp;3.9GPa;7.4GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa
80,4.868031,11,0.647059,7,4.86527,0.00201892,0.000212784,0.000408797,2.57143,8,6,0,matched;micro;raw;residual;shoulder,2;3;5;8,1GPa;1.3GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;6.6GPa;7.4GPa;10.4GPa;12.8GPa
81,4.899852,11,0.647059,5,4.90235,0.00746534,-0.000984863,0.000877033,2.64286,9,5,0,bump;matched;micro;raw;shoulder,2;3;5;8,0.7GPa;1GPa;1.3GPa;2.4GPa_decomp;5GPa;7.4GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa
82,4.935690,11,0.647059,5,4.94233,0.00701169,0.00023656,0.000533564,2.5,7,7,0,bump;matched;micro;raw;residual;shoulder,2;3,0.7GPa;1GPa;1.5GPa;2.4GPa_decomp;3.9GPa;5GPa;9.8GPa;10.4GPa;12.8GPa;13.3GPa;15.6GPa
83,4.966939,11,0.647059,5,4.97396,0.00551656,0.000267334,0.000250095,2.33333,5,10,0,matched;micro;raw;shoulder,2;3;5,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;8.5GPa;10.4GPa;12.8GPa
84,4.996627,7,0.411765,3,4.9935,0.00372447,0.000475819,0.00046498,2.28571,2,5,0,matched;micro;raw;shoulder,2;3,0.7GPa;1GPa;6.6GPa;7.4GPa;8.5GPa;10.4GPa;13.3GPa
85,5.023801,6,0.352941,2,5.03557,0.0016518,0.000740995,0.000434451,2.28571,2,5,0,matched;micro;raw;shoulder,2;3;5,2.3GPa;6.2GPa;6.6GPa;10.4GPa;12.8GPa;15.6GPa
86,5.064313,9,0.529412,6,5.06886,0.00523599,-0.00144519,0.000574889,2.66667,6,3,0,bump;matched;micro;raw;shoulder,2,1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.6GPa;7.4GPa;8.5GPa
87,5.084672,3,0.176471,1,5.08467,0,-5.89338e-17,0.000146766,2.66667,2,1,0,micro;shoulder,,1.5GPa;3.9GPa;6.2GPa
88,5.127808,4,0.235294,2,5.13212,0.00161902,-0.000787656,0.000975237,2.4,2,3,0,matched;micro;raw;shoulder,2,1GPa;9.8GPa;10.4GPa;13.3GPa
89,5.160655,6,0.352941,3,5.16178,0.00196516,0.000161104,0.000635786,2.5,4,4,0,bump;matched;micro;raw;shoulder,2;3;5,0.7GPa;1GPa;6.6GPa;7.4GPa;8.5GPa;10.4GPa
90,5.188890,10,0.588235,4,5.18983,0.00554935,0.000455871,0.000710836,2.73333,11,4,0,bump;matched;micro;raw;shoulder,2;3;5,1GPa;1.3GPa;2.4GPa_decomp;3.9GPa;5GPa;6.2GPa;8.5GPa;10.4GPa;12.8GPa;15.6GPa
91,5.221552,5,0.294118,2,5.21454,0.00334097,0.00014328,0.000864171,2.5,4,4,0,matched;micro;raw;residual;shoulder,2;3;8,1GPa;2.3GPa;2.4GPa_decomp;12.8GPa;13.3GPa
92,5.248253,4,0.235294,1,5.25139,0.00856056,0.000395056,0.000238686,2.5,2,2,0,micro;raw;shoulder,,0.7GPa;2.3GPa;6.2GPa;10.4GPa
93,5.293820,8,0.470588,2,5.29027,0.0117449,-0.00107363,0.000324021,2.46154,6,7,0,matched;micro;raw;residual;shoulder,2;3;5,0.7GPa;1GPa;1.5GPa;2.4GPa_decomp;5GPa;6.6GPa;7.4GPa;9.8GPa
94,5.329199,10,0.588235,5,5.33007,0.00816067,-6.59501e-05,0.000525042,2.41667,5,7,0,bump;matched;micro;raw;residual;shoulder,2;3;5;8,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;6.6GPa;9.8GPa;10.4GPa;13.3GPa;15.6GPa
95,5.358570,8,0.470588,5,5.35811,0.00457648,0.00031856,0.00063849,2.75,6,2,0,bump;matched;micro;raw;residual;shoulder,3;8,0.7GPa;1GPa;1.3GPa;1.5GPa;2.3GPa;3.9GPa;12.8GPa;15.6GPa
96,5.390218,8,0.470588,2,5.40058,0.000399896,0.000299277,0.000625038,2.6,6,4,0,matched;micro;raw;shoulder,2;3,1.5GPa;2.3GPa;5GPa;6.2GPa;7.4GPa;9.8GPa;12.8GPa;15.6GPa
97,5.425539,6,0.352941,2,5.42251,0.00571575,0.000284363,0.000801163,2.375,3,5,0,matched;micro;raw;shoulder,2;3,2.3GPa;2.4GPa_decomp;6.2GPa;6.6GPa;9.8GPa;15.6GPa
98,5.468507,6,0.352941,3,5.46424,0.00701169,0.00101514,0.000950869,2.375,3,5,0,matched;micro;raw;shoulder,2;5,0.7GPa;1.3GPa;8.5GPa;10.4GPa;12.8GPa;13.3GPa
99,5.499076,9,0.529412,4,5.50502,0.00667222,0.000691028,0.000766985,2.5,5,5,0,bump;matched;micro;raw;residual;shoulder,2;3;5,1GPa;1.3GPa;1.5GPa;2.3GPa;3.9GPa;5GPa;7.4GPa;10.4GPa;15.6GPa
100,5.553788,8,0.470588,3,5.54332,0.0111181,0.000629363,0.000324126,2.36364,4,7,0,matched;micro;raw;residual;shoulder,2;3;5;8,0.7GPa;5GPa;6.6GPa;7.4GPa;9.8GPa;12.8GPa;13.3GPa;15.6GPa
101,5.584541,12,0.705882,5,5.57872,0.00376697,0.000669402,0.000571411,2.35714,5,9,0,bump;matched;micro;raw;residual;shoulder,2;3;5,1GPa;1.3GPa;1.5GPa;2.3GPa;2.4GPa_decomp;5GPa;6.2GPa;7.4GPa;8.5GPa;10.4GPa;12.8GPa;13.3GPa
102,5.611709,10,0.588235,3,5.60658,0,0.000346263,0.000462346,2.53846,7,6,0,bump;matched;micro;raw;shoulder,2;3;5,0.7GPa;1GPa;2.3GPa;2.4GPa_decomp;5GPa;6.2GPa;7.4GPa;12.8GPa;13.3GPa;15.6GPa
103,5.659670,8,0.470588,3,5.65403,0.00629843,-0.00231757,0.000349241,2.4,4,6,0,bump;matched;micro;raw;residual;shoulder,2,1GPa;1.3GPa;2.3GPa;3.9GPa;5GPa;6.2GPa;9.8GPa;12.8GPa
104,5.688732,8,0.470588,3,5.69467,0.00901268,-6.42361e-05,0.000110416,2.33333,3,6,0,bump;matched;micro;raw;residual;shoulder,2,0.7GPa;1.3GPa;1.5GPa;5GPa;6.2GPa;6.6GPa;8.5GPa;15.6GPa
105,5.722733,4,0.235294,4,5.72791,0.00519349,0.00211152,0.00162801,2.5,2,2,0,bump;matched;micro;raw;residual;shoulder,2,7.4GPa;8.5GPa;9.8GPa;10.4GPa
